Employee_Name,EmpID,Salary,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences,IsTerminated,AttritionFlag,Age,Tenure_Years,EngagementLevel,AgeGroup,SalaryBand
"Harrington, Christie ",10097,52177,Production Technician I,MA,02324,18/08/1952,F,Single,US Citizen,No,White,01/09/2012,15/12/2015,retiring,Voluntarily Terminated,Production,Webster Butler,39,CareerBuilder,Fully Meets,4.64,4,0,05/02/2015,0,8,1,1,73,3.3,High,60+,Low
"Gray, Elijiah  ",10098,62957,Production Manager,MA,01752,07/11/1981,M,Divorced,US Citizen,No,White,06/02/2015,,N/A-StillEmployed,Active,Production,Janet King,2,Employee Referral,Fully Meets,4.63,3,0,01/04/2019,0,2,0,0,43,10.5,High,40s,High
"Daneault, Lynn",10099,65729,Sales Manager,VT,05473,19/04/1990,F,Single,US Citizen,No,White,05/05/2014,,N/A-StillEmployed,Active,Sales,Debra Houlihan,15,Indeed,Fully Meets,4.62,4,0,24/01/2019,0,8,0,0,35,11.2,High,30s,High
"Demita, Carla",10100,58275,Production Technician II,MA,02343,25/02/1951,F,Separated,US Citizen,No,Black,04/04/2011,11/04/2015,more money,Voluntarily Terminated,Production,Kelley Spirea,18,Google Search,Fully Meets,4.62,5,0,05/06/2015,0,1,1,1,74,4,High,60+,Medium
"Gonzalez, Maria",10101,61242,IT Support,MA,02472,16/04/1981,F,Separated,US Citizen,Yes,White,01/05/2015,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,4.61,4,5,28/01/2019,0,11,0,0,44,10.3,High,40s,Medium
"True, Edward",10102,61620,Software Engineer,MA,02451,14/06/1983,M,Single,Non-Citizen,No,Black,18/02/2013,15/04/2018,medical issues,Voluntarily Terminated,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Fully Meets,4.6,3,4,02/12/2017,0,9,1,1,42,5.2,High,40s,Medium
"Leruth, Giovanni",10103,70468,Area Sales Manager,UT,84111,27/12/1988,M,Separated,US Citizen,No,Black,30/04/2012,,N/A-StillEmployed,Active,Sales,John Smith,17,Website,Fully Meets,4.53,3,0,29/01/2019,0,16,0,0,36,13.3,High,30s,Very High
"Nowlan, Kristie",10104,66738,Production Technician II,MA,01040,23/11/1985,F,Single,US Citizen,No,White,11/10/2014,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,Indeed,Fully Meets,4.53,5,0,16/01/2019,0,5,0,0,39,10.8,High,30s,Very High
"Dunn, Amy  ",10105,75188,Production Manager,MA,01731,28/11/1973,F,Single,US Citizen,No,White,18/09/2014,,N/A-StillEmployed,Active,Production,Janet King,2,Google Search,Fully Meets,4.52,4,0,15/01/2019,0,4,0,0,51,10.9,High,50s,Very High
"Langford, Lindsey",10106,66074,Production Technician II,MA,02090,25/07/1979,F,Divorced,US Citizen,No,Asian,01/07/2013,31/03/2014,Another position,Voluntarily Terminated,Production,David Stanley,14,Indeed,Fully Meets,4.52,3,0,20/02/2014,0,20,1,1,46,0.7,High,40s,High
"Burke, Joelle",10107,63763,Production Technician II,MA,02148,03/02/1980,F,Single,US Citizen,No,Black,03/05/2012,,N/A-StillEmployed,Active,Production,Amy Dunn,11,Employee Referral,Fully Meets,4.51,4,0,21/02/2019,0,3,0,0,45,13.3,High,40s,High
"Champaigne, Brian",10108,61620,BI Director,MA,02045,02/09/1972,M,Married,US Citizen,No,White,09/06/2016,,N/A-StillEmployed,Active,IS,Jennifer Zamora,5,Indeed,Fully Meets,4.5,5,7,15/01/2019,0,8,0,0,52,9.2,High,50s,Medium
"Guilianno, Mike",10109,71707,Area Sales Manager,TN,37129,02/09/1969,M,Single,US Citizen,No,White,03/07/2012,31/10/2014,relocation out of area,Voluntarily Terminated,Sales,John Smith,17,LinkedIn,Fully Meets,4.5,5,0,02/01/2013,0,20,1,1,55,2.3,High,50s,Very High
"Martin, Sandra",10110,61620,Software Engineer,MA,02135,11/07/1987,F,Single,US Citizen,No,Asian,11/11/2013,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Google Search,Fully Meets,4.5,5,4,14/01/2019,0,14,0,0,38,11.7,High,30s,Medium
"Garcia, Raul",10111,52249,Production Technician I,MA,01905,15/09/1985,M,Single,US Citizen,Yes,White,30/03/2015,,N/A-StillEmployed,Active,Production,David Stanley,14,Employee Referral,Fully Meets,4.5,3,0,18/02/2019,0,5,0,0,39,10.3,High,30s,Low
"Horton, Jayne",10112,61620,Database Administrator,MA,02493,21/02/1984,F,Single,US Citizen,No,White,30/03/2015,,N/A-StillEmployed,Active,IS,Simon Roup,4,Indeed,Fully Meets,4.48,5,6,01/03/2019,0,4,0,0,41,10.3,High,40s,Medium
"Lajiri,  Jyoti",10113,93206,Sr. Network Engineer,MA,02169,23/04/1986,M,Married,US Citizen,No,White,11/10/2014,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,4.46,5,6,01/07/2019,0,7,0,0,39,10.8,High,30s,Very High
"Bachiochi, Linda",10114,47837,Production Technician I,MA,01902,02/11/1970,F,Single,US Citizen,No,Black,07/06/2009,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Diversity Job Fair,Fully Meets,4.46,3,0,25/01/2019,0,4,0,0,54,16.2,High,50s,Low
"Carey, Michael  ",10115,52846,Production Technician I,MA,01701,02/02/1983,M,Single,US Citizen,No,Black,31/03/2014,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,LinkedIn,Fully Meets,4.43,3,0,02/01/2019,0,14,0,0,42,11.3,High,40s,Low
"Miller, Brannon",10116,83667,Production Manager,MA,02045,08/10/1981,M,Single,US Citizen,yes,Hispanic,16/08/2012,,N/A-StillEmployed,Active,Production,Janet King,2,Indeed,Fully Meets,4.37,3,0,14/01/2019,0,2,0,0,43,13,High,40s,Very High
"Sullivan, Timothy",10117,63025,Production Technician I,MA,02747,10/07/1982,M,Married,US Citizen,Yes,White,01/05/2015,,N/A-StillEmployed,Active,Production,Michael Albert,22,Google Search,Fully Meets,4.36,5,0,24/01/2019,0,10,0,0,43,10.3,High,40s,High
"Voldemort, Lord",10118,61620,Database Administrator,MA,01960,08/07/1986,M,Married,US Citizen,No,Black,16/02/2015,22/02/2017,"no-call, no-show",Terminated For Cause,IS,Simon Roup,4,Employee Referral,Fully Meets,4.33,3,7,15/02/2017,0,9,1,1,39,2,High,30s,Medium
"Soto, Julia ",10119,66593,IT Support,MA,02360,03/12/1973,F,Married,US Citizen,No,Black,06/10/2011,,N/A-StillEmployed,Active,IT,Eric Dougall,6,LinkedIn,Fully Meets,4.3,3,5,02/08/2019,0,19,0,0,51,13.8,High,50s,Very High
"Moumanil, Maliki ",10120,74417,Production Technician II,MA,01460,12/01/1974,M,Separated,US Citizen,No,Black,13/05/2013,,N/A-StillEmployed,Active,Production,Michael Albert,22,LinkedIn,Fully Meets,4.29,5,0,28/01/2019,0,11,0,0,51,12.2,High,50s,Very High
"Onque, Jasmine",10121,63051,Area Sales Manager,FL,33174,05/11/1990,F,Single,US Citizen,Yes,White,30/09/2013,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.28,3,0,25/01/2019,0,1,0,0,34,11.8,High,30s,High
"Gerke, Melisa",10122,51505,Production Technician I,MA,02330,15/05/1970,F,Divorced,US Citizen,No,Black,11/07/2011,15/11/2016,hours,Voluntarily Terminated,Production,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,0,29/04/2016,0,2,1,1,55,5.4,High,50s,Low
"Tippett, Jeanette",10123,56339,Production Technician I,MA,02093,06/05/1967,F,Divorced,US Citizen,No,Black,18/02/2013,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Indeed,Fully Meets,4.21,5,0,14/01/2019,0,4,0,0,58,12.5,High,50s,Medium
"Potts, Xana",10124,61844,Area Sales Manager,KY,40220,29/08/1988,F,Married,US Citizen,No,Black,01/09/2012,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Website,Fully Meets,4.2,5,0,02/01/2019,0,9,0,0,36,12.9,High,30s,High
"Handschiegl, Joanne",10125,54828,Production Technician I,MA,02127,23/03/1977,F,Married,US Citizen,No,White,28/11/2011,,N/A-StillEmployed,Active,Production,Michael Albert,22,Google Search,Fully Meets,4.2,4,0,22/02/2019,0,13,0,0,48,13.7,High,40s,Low
"Saada, Adell",10126,86214,Software Engineer,MA,02132,24/07/1986,F,Married,US Citizen,No,White,11/05/2012,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,Indeed,Fully Meets,4.2,3,6,13/02/2019,0,2,0,0,39,13.2,High,30s,Very High
"Warfield, Sarah",10127,61620,Sr. Network Engineer,MA,02453,05/02/1978,F,Widowed,US Citizen,No,Asian,30/03/2015,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,4.2,4,8,02/05/2019,0,7,0,0,47,10.3,High,40s,Medium
"Meads, Elizabeth",10128,62659,Production Technician I,MA,01760,30/05/1968,F,Single,US Citizen,No,Black,04/02/2012,11/11/2016,Another position,Voluntarily Terminated,Production,Kelley Spirea,18,Diversity Job Fair,Fully Meets,4.18,4,0,02/05/2016,0,17,1,1,57,4.8,High,50s,High
"Heitzman, Anthony",10129,46998,Production Technician I,MA,02149,01/04/1984,M,Single,US Citizen,No,White,13/08/2012,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Google Search,Fully Meets,4.17,4,0,02/11/2019,0,1,0,0,41,13,High,40s,Low
"Peterson, Ebonee  ",10130,74669,Production Manager,MA,02030,05/09/1977,F,Married,US Citizen,No,White,25/10/2010,18/05/2016,Another position,Voluntarily Terminated,Production,Janet King,2,Indeed,Fully Meets,4.16,5,0,03/05/2015,0,6,1,1,47,5.6,High,40s,Very High
"Quinn, Sean",10131,83363,Software Engineer,MA,02045,11/06/1984,M,Married,Non-Citizen,No,Black,21/02/2011,15/08/2015,career change,Voluntarily Terminated,Software Engineering,Janet King,2,Diversity Job Fair,Fully Meets,4.15,4,0,19/04/2014,0,4,1,1,41,4.5,High,40s,Very High
"Crimmings,   Jean",10132,56149,Production Technician I,MA,01821,04/10/1987,F,Single,US Citizen,No,White,07/06/2016,,N/A-StillEmployed,Active,Production,Michael Albert,22,LinkedIn,Fully Meets,4.12,5,0,28/01/2019,0,15,0,0,37,9.2,High,30s,Medium
"Dolan, Linda",10133,70621,IT Support,MA,02119,18/07/1988,F,Married,US Citizen,No,White,01/05/2015,,N/A-StillEmployed,Active,IT,Peter Monroe,7,Employee Referral,Fully Meets,4.11,4,6,25/02/2019,0,16,0,0,37,10.3,High,30s,Very High
"LeBlanc, Brandon  R",10134,93046,Shared Services Manager,MA,01460,06/10/1984,M,Married,US Citizen,No,White,01/05/2016,,N/A-StillEmployed,Active,Admin Offices,Janet King,2,CareerBuilder,Fully Meets,4.1,4,0,28/01/2019,0,20,0,0,40,9.3,High,30s,Very High
"Woodson, Jason",10135,65893,Production Technician II,MA,01810,05/11/1985,M,Single,US Citizen,No,White,07/07/2014,,N/A-StillEmployed,Active,Production,Kissy Sullivan,20,LinkedIn,Fully Meets,4.07,4,0,28/02/2019,0,13,0,0,39,11.1,High,30s,High
"Fancett, Nicole",10136,65902,Production Technician II,MA,02324,27/09/1987,F,Single,US Citizen,No,Black,17/02/2014,,N/A-StillEmployed,Active,Production,Webster Butler,39,LinkedIn,Fully Meets,4,4,0,01/07/2019,0,7,0,0,37,11.5,High,30s,High
"Linden, Mathew",10137,63450,Production Technician II,MA,01770,19/03/1979,M,Married,US Citizen,No,White,07/08/2013,,N/A-StillEmployed,Active,Production,Kelley Spirea,18,LinkedIn,Fully Meets,4,3,0,18/02/2019,0,7,0,0,46,12,High,40s,High
"Jung, Judy  ",10138,61154,Production Technician I,MA,02446,17/04/1986,F,Married,US Citizen,No,Black,01/10/2011,04/01/2016,unhappy,Voluntarily Terminated,Production,Elijiah Gray,16,CareerBuilder,Fully Meets,4,4,0,02/03/2016,0,4,1,1,39,4.3,High,30s,Medium
"Ivey, Rose ",10139,51908,Production Technician I,MA,01775,28/01/1991,F,Single,US Citizen,No,White,19/08/2013,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Indeed,Fully Meets,3.99,3,0,14/01/2019,0,14,0,0,34,12,Medium,30s,Low
"Ren, Kylo",10140,61809,Area Sales Manager,ID,83706,10/12/1954,M,Married,US Citizen,No,White,05/12/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,CareerBuilder,Fully Meets,3.98,3,0,28/01/2019,0,4,0,0,70,10.7,Medium,60+,High
"Theamstern, Sophia",10141,48413,Production Technician I,MA,02066,05/09/1965,F,Single,US Citizen,No,White,07/05/2011,09/05/2016,return to school,Voluntarily Terminated,Production,Amy Dunn,11,Indeed,Fully Meets,3.98,4,0,03/02/2016,0,1,1,1,59,5,Medium,50s,Low
"Gill, Whitney  ",10142,59370,Area Sales Manager,OH,43050,07/10/1971,F,Widowed,US Citizen,No,Black,07/07/2014,09/05/2015,attendance,Terminated For Cause,Sales,John Smith,17,CareerBuilder,Fully Meets,3.97,4,0,15/01/2014,0,7,1,1,53,0.8,Medium,50s,Medium
"Davis, Daniel",10143,56294,Production Technician II,MA,02458,14/09/1979,M,Single,Non-Citizen,No,White,11/07/2011,,N/A-StillEmployed,Active,Production,Kissy Sullivan,20,LinkedIn,Fully Meets,3.96,4,0,27/02/2019,0,6,0,0,45,14.1,Medium,40s,Medium
"Vega, Vincent",10144,88976,Production Manager,MA,02169,10/10/1968,M,Divorced,US Citizen,No,White,08/01/2011,,N/A-StillEmployed,Active,Production,Janet King,2,Employee Referral,Fully Meets,3.93,3,0,27/02/2019,0,19,0,0,56,14.6,Medium,50s,Very High
"Mckenna, Sandy",10145,62810,Production Technician I,MA,02184,01/07/1987,F,Married,US Citizen,No,Black,01/07/2013,,N/A-StillEmployed,Active,Production,Kissy Sullivan,20,CareerBuilder,Fully Meets,3.93,3,0,30/01/2019,0,20,0,0,38,12.1,Medium,30s,High
"Tejeda, Lenora ",10146,72202,Production Technician II,MA,02129,24/05/1953,F,Married,US Citizen,No,White,16/05/2011,07/08/2017,Another position,Voluntarily Terminated,Production,Elijiah Gray,16,Google Search,Fully Meets,3.93,3,0,18/04/2017,0,3,1,1,72,6.2,Medium,60+,Very High
"Steans, Tyrone  ",10147,63003,Accountant I,MA,02703,09/01/1986,M,Single,US Citizen,No,White,29/09/2014,,N/A-StillEmployed,Active,Admin Offices,Brandon R. LeBlanc,1,Indeed,Fully Meets,3.9,5,5,18/01/2019,0,9,0,0,39,10.8,Medium,30s,High
"Panjwani, Nina",10148,63515,Production Technician I,MA,02351,05/01/1979,F,Married,US Citizen,No,White,02/07/2011,01/12/2014,Another position,Voluntarily Terminated,Production,Elijiah Gray,16,Google Search,Fully Meets,3.89,4,0,03/04/2013,0,7,1,1,46,3.4,Medium,40s,High
"Roehrich, Bianca",10149,61620,Principal Data Architect,MA,02703,27/05/1973,F,Single,US Citizen,Yes,White,01/05/2015,11/10/2018,Another position,Voluntarily Terminated,IS,Simon Roup,4,LinkedIn,Fully Meets,3.88,3,7,13/02/2018,0,12,1,1,52,3.4,Medium,50s,Medium
"Cady, Max ",10150,77692,Software Engineering Manager,MA,02184,22/11/1966,M,Single,US Citizen,No,White,15/08/2011,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,5,Google Search,Fully Meets,3.84,3,5,21/01/2019,0,4,0,0,58,14,Medium,50s,Very High
"Morway, Tanya",10151,52599,Network Engineer,MA,02048,04/04/1979,F,Married,US Citizen,No,White,16/02/2015,,N/A-StillEmployed,Active,IT,Peter Monroe,7,CareerBuilder,Fully Meets,3.81,3,6,02/11/2019,0,6,0,0,46,10.5,Medium,40s,Low
"Rarrick, Quinn",10152,61729,Production Technician I,MA,02478,31/12/1984,M,Divorced,US Citizen,No,White,26/09/2011,04/07/2018,more money,Voluntarily Terminated,Production,Michael Albert,22,Indeed,Fully Meets,3.8,5,0,02/04/2018,0,19,1,1,40,6.8,Medium,30s,High
"Smith, Leigh Ann",10153,55000,Administrative Assistant,MA,01844,14/06/1987,F,Married,US Citizen,No,Black,26/09/2011,25/09/2013,career change,Voluntarily Terminated,Admin Offices,Brandon R. LeBlanc,1,Diversity Job Fair,Fully Meets,3.8,4,4,15/08/2013,0,17,1,1,38,2,Medium,30s,Low
"Chang, Donovan  E",10154,60380,Production Technician I,MA,01845,24/08/1983,M,Single,US Citizen,No,White,07/08/2013,,N/A-StillEmployed,Active,Production,Webster Butler,39,LinkedIn,Fully Meets,3.8,5,0,14/01/2019,0,4,0,0,41,12,Medium,40s,Medium
"Del Bosque, Keyla",10155,61620,Software Engineer,MA,02176,07/05/1979,F,Single,US Citizen,No,Black,01/09/2012,,N/A-StillEmployed,Active,Software Engineering,Alex Sweetwater,10,CareerBuilder,Fully Meets,3.79,5,5,25/01/2019,0,8,0,0,46,12.9,Medium,40s,Medium
"Johnson, Noelle ",10156,61620,Database Administrator,MA,02301,11/07/1986,F,Married,US Citizen,No,Asian,01/05/2015,,N/A-StillEmployed,Active,IS,Simon Roup,4,Indeed,Fully Meets,3.75,3,5,02/11/2019,0,2,0,0,39,10.3,Medium,30s,Medium
"Smith, Sade",10157,58939,Production Technician I,MA,02130,02/02/1965,F,Single,US Citizen,No,White,11/11/2013,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Employee Referral,Fully Meets,3.73,3,0,24/01/2019,0,16,0,0,60,11.7,Medium,50s,Medium
"Sullivan, Kissy ",10158,63682,Production Manager,MA,01776,28/03/1978,F,Married,US Citizen,No,Black,01/08/2009,,N/A-StillEmployed,Active,Production,Janet King,2,Indeed,Fully Meets,3.73,4,0,24/01/2019,0,12,0,0,47,16,Medium,40s,High
"Gentry, Mildred",10159,51337,Production Technician I,MA,02145,10/01/1990,F,Married,US Citizen,No,Black,30/03/2015,,N/A-StillEmployed,Active,Production,Michael Albert,22,LinkedIn,Fully Meets,3.73,3,0,16/01/2019,0,19,0,0,35,10.3,Medium,30s,Low
"Huynh, Ming",10160,68182,Production Technician II,MA,01742,22/09/1976,F,Divorced,US Citizen,No,White,21/02/2011,04/01/2013,unhappy,Voluntarily Terminated,Production,Amy Dunn,11,Google Search,Fully Meets,3.72,3,0,02/01/2013,0,18,1,1,48,1.9,Medium,40s,Very High
"Terry, Sharlene ",10161,58370,Area Sales Manager,OR,97756,05/07/1965,F,Single,US Citizen,No,Black,29/09/2014,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Indeed,Fully Meets,3.69,3,0,28/01/2019,0,18,0,0,60,10.8,Medium,50s,Medium
"Roby, Lori ",10162,89883,Data Analyst,MA,01886,10/11/1981,F,Married,US Citizen,No,White,16/02/2015,,N/A-StillEmployed,Active,IS,Simon Roup,4,Employee Referral,Fully Meets,3.69,5,6,14/02/2019,0,15,0,0,43,10.5,Medium,40s,Very High
"Foreman, Tanya",10163,55965,Production Technician II,MA,02170,11/08/1983,F,Married,US Citizen,No,White,04/04/2011,01/09/2013,career change,Voluntarily Terminated,Production,Ketsia Liebig,19,Google Search,Fully Meets,3.66,3,0,01/07/2012,0,6,1,1,42,2.4,Medium,40s,Medium
"Pitt, Brad ",10164,47001,Production Technician I,MA,02451,23/11/1981,M,Single,US Citizen,No,White,11/05/2007,,N/A-StillEmployed,Active,Production,David Stanley,14,Google Search,Fully Meets,3.66,3,0,25/02/2019,0,15,0,0,43,18.2,Medium,40s,Low
"Kreuger, Freddy",10165,71339,Area Sales Manager,NY,10171,24/02/1969,M,Single,US Citizen,Yes,Black,03/07/2011,,N/A-StillEmployed,Active,Sales,John Smith,17,Diversity Job Fair,Fully Meets,3.65,5,0,17/01/2019,0,20,0,0,56,14.1,Medium,50s,Very High
"Kinsella, Kathleen  ",10166,54005,Production Technician I,MA,02170,12/08/1973,F,Married,US Citizen,No,White,26/09/2011,06/04/2015,more money,Voluntarily Terminated,Production,Webster Butler,39,Google Search,Fully Meets,3.6,5,0,03/01/2015,0,16,1,1,52,3.5,Medium,50s,Low
"Hitchcock, Alfred",10167,70545,Area Sales Manager,NH,03062,14/09/1988,M,Married,US Citizen,No,Indian,18/08/2014,,N/A-StillEmployed,Active,Sales,John Smith,17,Indeed,Fully Meets,3.6,5,0,30/01/2019,0,9,0,0,36,11,Medium,30s,Very High
"Cierpiszewski, Caroline  ",10168,64816,Production Technician I,MA,02044,31/05/1988,F,Single,Non-Citizen,No,Black,10/03/2011,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Indeed,Fully Meets,3.58,5,0,30/01/2019,0,3,0,0,37,14.4,Medium,30s,High
"Sander, Kamrin",10169,56147,Production Technician I,MA,02154,07/10/1988,F,Married,US Citizen,No,Black,29/09/2014,,N/A-StillEmployed,Active,Production,Elijiah Gray,16,LinkedIn,Fully Meets,3.51,3,0,18/02/2019,0,2,0,0,36,10.8,Medium,30s,Medium
"Kirill, Alexandra  ",10170,45433,Production Technician I,MA,02127,10/08/1970,F,Married,US Citizen,No,White,26/09/2011,01/09/2014,more money,Voluntarily Terminated,Production,Amy Dunn,11,Google Search,Fully Meets,3.49,4,0,30/01/2013,0,6,1,1,55,2.9,Medium,50s,Low
"Perry, Shakira",10171,45998,Production Technician I,MA,02176,20/07/1986,F,Single,US Citizen,No,White,16/05/2011,25/10/2015,medical issues,Voluntarily Terminated,Production,Amy Dunn,11,LinkedIn,Fully Meets,3.45,4,0,13/05/2014,0,5,1,1,39,4.4,Medium,30s,Low
"Wang, Charlie",10172,84903,Senior BI Developer,MA,01887,07/08/1981,M,Single,US Citizen,No,Asian,15/02/2017,,N/A-StillEmployed,Active,IS,Brian Champaigne,13,Indeed,Fully Meets,3.42,4,7,01/04/2019,0,17,0,0,44,8.5,Medium,40s,Very High
"Tannen, Biff",10173,90100,BI Developer,MA,02134,24/10/1987,M,Married,US Citizen,No,White,20/04/2017,,N/A-StillEmployed,Active,IS,Brian Champaigne,13,Indeed,Fully Meets,3.4,3,6,01/02/2019,0,14,0,0,37,8.3,Medium,30s,Very High
"Wolk, Hang  T",10174,60446,Production Technician II,MA,02302,20/04/1985,F,Single,US Citizen,No,White,29/09/2014,,N/A-StillEmployed,Active,Production,David Stanley,14,LinkedIn,Fully Meets,3.4,4,0,21/02/2019,0,14,0,0,40,10.8,Medium,30s,Medium
"Bozzi, Charles",10175,74312,Production Manager,MA,01901,03/10/1970,M,Single,US Citizen,No,Asian,30/09/2013,08/07/2014,retiring,Voluntarily Terminated,Production,Janet King,2,Indeed,Fully Meets,3.39,3,0,20/02/2014,0,14,1,1,54,0.8,Medium,50s,Very High
"Kretschmer, John",10176,63973,Production Technician I,MA,01801,02/02/1980,M,Married,US Citizen,No,Asian,01/10/2011,,N/A-StillEmployed,Active,Production,Brannon Miller,12,Indeed,Fully Meets,3.38,3,0,21/01/2019,0,17,0,0,45,13.8,Medium,40s,High
"Brill, Donna",10177,53492,Production Technician I,MA,01701,24/08/1990,F,Married,US Citizen,No,White,04/02/2012,15/06/2013,Another position,Voluntarily Terminated,Production,David Stanley,14,Google Search,Fully Meets,3.35,4,0,03/04/2013,0,6,1,1,34,1.4,Medium,30s,Low
"Simard, Kramer",10178,87826,Data Analyst,MA,02110,02/08/1970,M,Married,US Citizen,Yes,White,01/05/2015,,N/A-StillEmployed,Active,IS,Simon Roup,4,Employee Referral,Fully Meets,3.32,3,7,14/01/2019,0,16,0,0,55,10.3,Medium,50s,Very High
"Shepard, Anita ",10179,50750,Network Engineer,MA,01773,14/04/1981,F,Married,US Citizen,No,White,30/09/2014,,N/A-StillEmployed,Active,IT,Peter Monroe,7,LinkedIn,Fully Meets,3.31,3,6,01/07/2019,0,7,0,0,44,10.8,Medium,40s,Low
"Soze, Keyser",10180,87565,Sr. Network Engineer,MA,01545,02/09/1983,M,Married,US Citizen,No,Asian,30/06/2016,,N/A-StillEmployed,Active,IT,Peter Monroe,7,LinkedIn,Fully Meets,3.27,4,5,14/01/2019,0,13,0,0,41,9.1,Medium,40s,Very High
"Burkett, Benjamin ",10181,62162,Production Technician II,MA,01890,19/08/1977,M,Married,US Citizen,No,White,04/04/2011,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Indeed,Fully Meets,3.25,5,0,14/01/2019,0,15,0,0,47,14.3,Medium,40s,High
"Howard, Estelle",10182,49920,Administrative Assistant,MA,02170,16/09/1985,F,Married,US Citizen,No,Black,16/02/2015,15/04/2015,"no-call, no-show",Terminated For Cause,Admin Offices,Brandon R. LeBlanc,1,Indeed,Fully Meets,3.24,3,4,15/04/2015,0,6,1,1,39,0.2,Medium,30s,Low
"Von Massenbach, Anna",10183,62068,Production Technician I,MA,02124,04/06/1985,F,Single,US Citizen,No,White,07/05/2015,,N/A-StillEmployed,Active,Production,Michael Albert,22,LinkedIn,Fully Meets,3.21,3,0,29/01/2019,0,7,0,0,40,10.2,Medium,30s,High
"Buccheri, Joseph  ",10184,65288,Production Technician II,MA,01013,28/07/1983,M,Single,US Citizen,No,White,29/09/2014,,N/A-StillEmployed,Active,Production,Webster Butler,39,Google Search,Fully Meets,3.19,3,0,02/01/2019,0,9,0,0,42,10.8,Medium,40s,High
"Ndzi, Horia",10185,46664,Production Technician I,MA,02421,28/03/1983,M,Married,US Citizen,No,White,04/01/2013,25/05/2016,more money,Voluntarily Terminated,Production,Amy Dunn,11,Employee Referral,Fully Meets,3.18,3,0,03/06/2016,0,10,1,1,42,3.4,Medium,40s,Low
"Linares, Marilyn ",10186,52624,Production Technician I,MA,01886,26/03/1981,F,Married,US Citizen,No,White,07/05/2011,26/09/2018,unhappy,Voluntarily Terminated,Production,Michael Albert,22,Indeed,Fully Meets,3.18,4,0,03/02/2018,0,16,1,1,44,7.4,Medium,40s,Low
"Power, Morissa",10187,46799,Production Technician I,MA,01742,15/10/1984,F,Divorced,Non-Citizen,No,Asian,16/05/2011,06/04/2018,Another position,Voluntarily Terminated,Production,Kissy Sullivan,20,Google Search,Fully Meets,3.17,4,0,04/02/2018,0,14,1,1,40,6.9,Medium,30s,Low
"Bunbury, Jessica",10188,74326,Area Sales Manager,VA,21851,06/01/1964,F,Married,Non-Citizen,No,Black,15/08/2011,08/02/2014,Another position,Voluntarily Terminated,Sales,John Smith,17,Google Search,Fully Meets,3.14,5,0,02/10/2013,1,19,1,1,61,2.5,Medium,60+,Very High
"Ferguson, Susan",10189,57748,Production Technician I,MA,02176,14/04/1955,F,Married,US Citizen,No,White,11/07/2011,17/05/2016,military,Voluntarily Terminated,Production,Webster Butler,39,Google Search,Fully Meets,3.13,3,0,02/04/2016,0,16,1,1,70,4.9,Medium,60+,Medium
"Walker, Roger",10190,66541,Production Technician II,MA,02459,02/10/1976,M,Single,US Citizen,No,Black,18/08/2014,,N/A-StillEmployed,Active,Production,Ketsia Liebig,19,Employee Referral,Fully Meets,3.11,5,0,02/12/2019,0,4,0,0,48,11,Medium,40s,Very High
"MacLennan, Samuel",10191,52788,Production Technician I,MA,01938,11/09/1972,M,Widowed,US Citizen,No,White,24/09/2012,26/09/2017,hours,Voluntarily Terminated,Production,Amy Dunn,11,Indeed,Fully Meets,3.08,4,0,04/01/2017,0,18,1,1,52,5,Medium,50s,Low
"Keatts, Kramer ",10192,50482,Production Technician I,MA,01887,19/01/1976,M,Single,US Citizen,No,White,30/09/2013,,N/A-StillEmployed,Active,Production,Michael Albert,22,Indeed,Fully Meets,3.07,4,0,23/01/2019,0,10,0,0,49,11.8,Medium,40s,Low
